,Unnamed: 0,nama,tahun,status
0,0.0,Cayadi Wasita,2021.0,Kuliah
1,1.0,Tasnim Adriansyah,2019.0,Kuliah
2,2.0,H. Aditya Nugroho,2021.0,Menganggur
3,3.0,Jarwa Latupono,2020.0,Kuliah
4,4.0,Puspa Kuswandari,2019.0,Bekerja
5,5.0,"Ir. Ratih Irawan, M.M.",2020.0,Menganggur
6,6.0,"Cager Thamrin, S.Gz",2020.0,Kuliah
7,7.0,R. Tedi Marbun,2020.0,Kuliah
8,8.0,"R.A. Lili Iswahyudi, M.Kom.",2021.0,Kuliah
9,9.0,"Dewi Mangunsong, S.Psi",2020.0,Menganggur
10,10.0,Unjani Anggriawan,2020.0,Kuliah
11,11.0,"Drs. Mahdi Budiman, S.Farm",2020.0,Bekerja
12,12.0,"Hj. Ophelia Narpati, S.Pt",2020.0,Menganggur
13,13.0,"Puti Victoria Santoso, S.I.Kom",2020.0,Kuliah
14,14.0,"T. Gamblang Kuswandari, S.E.",2021.0,Menganggur
15,15.0,"dr. Ratna Usamah, S.Kom",2019.0,Kuliah
16,16.0,"Novi Gunarto, M.M.",2020.0,Menganggur
17,17.0,"Tgk. Zelda Wijayanti, S.Sos",2019.0,Kuliah
18,18.0,Galiono Nashiruddin,2021.0,Menganggur
19,19.0,Tgk. Halima Maryati,2021.0,Kuliah
20,20.0,H. Rafid Simanjuntak,2019.0,Bekerja
21,21.0,Tgk. Lala Widodo,2021.0,Kuliah
22,22.0,dr. Farah Utami,2021.0,Kuliah
23,23.0,Zaenab Hidayat,2019.0,Kuliah
24,24.0,Baktiono Permadi,2020.0,Menganggur
25,25.0,"Puti Tantri Tarihoran, S.E.I",2019.0,Bekerja
26,26.0,"Dr. Mala Rahayu, S.I.Kom",2019.0,Bekerja
27,27.0,"Kawaca Sinaga, S.I.Kom",2021.0,Bekerja
28,28.0,Saadat Megantara,2019.0,Bekerja
29,29.0,H. Wardaya Laksmiwati,2019.0,Bekerja
30,30.0,R.M. Irwan Mandasari,2020.0,Bekerja
31,31.0,"R. Vicky Melani, S.I.Kom",2020.0,Bekerja
32,32.0,Cakrawala Sudiati,2021.0,Kuliah
33,33.0,Cindy Hassanah,2019.0,Bekerja
34,34.0,"Kamila Pradana, S.Sos",2019.0,Bekerja
35,35.0,Zulfa Purwanti,2019.0,Kuliah
36,36.0,Abyasa Hartati,2019.0,Menganggur
37,37.0,Paulin Yuliarti,2021.0,Menganggur
38,38.0,Shania Marbun,2020.0,Menganggur
39,39.0,"T. Arsipatra Tamba, S.T.",2020.0,Kuliah
40,40.0,Galuh Yuniar,2019.0,Bekerja
41,41.0,Ira Hakim,2020.0,Kuliah
42,42.0,Nasim Marbun,2020.0,Bekerja
43,43.0,"drg. Endah Namaga, M.Kom.",2020.0,Kuliah
44,44.0,"R.A. Anita Agustina, S.Gz",2020.0,Menganggur
45,45.0,Kacung Anggriawan,2021.0,Bekerja
46,46.0,"R.M. Cager Winarno, M.Farm",2020.0,Bekerja
47,47.0,Laksana Sirait,2020.0,Menganggur
48,48.0,Darmanto Yolanda,2019.0,Bekerja
49,49.0,Gina Adriansyah,2020.0,Bekerja
50,50.0,"Tirtayasa Lailasari, S.IP",2021.0,Kuliah
51,51.0,Tania Palastri,2019.0,Menganggur
52,52.0,Raden Irawan,2020.0,Menganggur
53,53.0,Zelda Namaga,2019.0,Kuliah
54,54.0,Soleh Sinaga,2019.0,Bekerja
55,55.0,Dr. Nyana Pranowo,2019.0,Bekerja
56,56.0,"Dariati Jailani, S.E.I",2021.0,Menganggur
57,57.0,Anastasia Narpati,2021.0,Menganggur
58,58.0,Puti Salwa Januar,2019.0,Menganggur
59,59.0,"drg. Calista Simanjuntak, M.Ak",2019.0,Bekerja
60,60.0,T. Kasusra Rahmawati,2019.0,Bekerja
61,61.0,"dr. Icha Salahudin, S.Sos",2021.0,Menganggur
62,62.0,Dian Kusumo,2019.0,Menganggur
63,63.0,Gamanto Siregar,2019.0,Kuliah
64,64.0,Galur Ramadan,2021.0,Kuliah
65,65.0,Leo Putra,2019.0,Bekerja
66,66.0,"Warji Palastri, S.Farm",2021.0,Menganggur
67,67.0,Olivia Hutapea,2019.0,Menganggur
68,68.0,Jane Widodo,2019.0,Menganggur
69,69.0,"Dr. Manah Rahayu, S.E.",2020.0,Menganggur
70,70.0,"Ir. Luwar Sitorus, S.I.Kom",2020.0,Menganggur
71,71.0,Martaka Novitasari,2019.0,Kuliah
72,72.0,Daruna Mardhiyah,2021.0,Menganggur
73,73.0,Jindra Kusumo,2020.0,Kuliah
74,74.0,Nadine Wacana,2019.0,Menganggur
75,75.0,"Drs. Vera Waskita, S.I.Kom",2019.0,Kuliah
76,76.0,Dr. Amalia Utami,2019.0,Bekerja
